개최기간,"광역
단체명",확진자,평균 기온,평균 습도,장소
Apr-24,8,183,11.1,50,1
Aug-24,8,"2,268",26.5,85,1
Aug-24,8,"2,268",26.5,85,1
Sep-24,8,"1,425",21.4,71,1
Sep-24,8,"1,425",21.4,71,1
Oct-24,8,718,14.3,61,1
Oct-24,8,718,14.3,61,1
Oct-24,8,718,14.3,61,1
Nov-24,8,"2,800",8,64,1
Nov-24,8,"2,800",8,64,1
Apr-24,2,955,14,58,1
Apr-24,2,955,14,58,1
Apr-24,14,82,15.4,63,1
May-24,8,"6,077",17.1,68,1
May-24,13,289,16.7,72,0
May-24,13,289,16.7,72,1
Jun-24,0,374,20.45,77,1
Jun-24,0,374,20.45,77,1
Jun-24,2,548,22,77,1
Jul-24,1,"11,720",27,76,1
Aug-24,1,"15,297",25.1,79,1
Aug-24,8,"14,999",25.9,74,1
Aug-24,8,"14,999",25.9,74,1
Sep-24,1,"19,045",21.9,75,1
Sep-24,1,"19,045",21.9,75,1
Sep-24,6,"1,338",22.4,81,1
Sep-24,16,"1,192",20.7,79,0
Oct-24,0,762,13.55,76,1
Oct-24,0,762,13.55,76,1
Oct-24,0,762,13.55,76,1
Oct-24,0,762,13.55,76,1
Oct-24,1,"18,331",15,74,1
Oct-24,1,"18,331",15,74,1
Oct-24,1,"18,331",15,74,1
Oct-24,4,382,17.2,77,1
Oct-24,6,547,15.7,79,0
Oct-24,6,547,15.7,79,1
Oct-24,6,547,15.7,79,1
Oct-24,8,"19,095",15.6,70,1
Oct-24,8,"19,095",15.6,70,1
Oct-24,10,256,17.1,75,1
Oct-24,10,256,17.1,75,1
Oct-24,11,"3,571",16,62,1
Oct-24,12,459,17.1,74,1
Oct-24,14,225,20.1,73,1
Oct-24,16,"1,556",13.8,78,1
Nov-24,3,"1,559",8.2,67,1
Nov-24,6,"1,023",8.9,76,1
Nov-24,8,"34,661",8.2,68,1
Nov-24,8,"34,661",8.2,68,1
Nov-24,13,"1,145",8.2,77,1
Nov-24,14,604,14,66,1
Nov-24,14,604,14,66,1
Jan-24,0,"3,575",-3,57,1
Jan-24,16,"3,783",-2.7,59,0
Feb-24,2,"112,330",2.1,43,1
Feb-24,2,"112,330",2.1,43,1
Feb-24,10,"40,568",2.7,37,1
Mar-24,1,"2,696,470",7,66,1
Mar-24,1,"2,696,470",7,66,1
Mar-24,2,"643,621",9.4,62,1
Mar-24,7,"697,919",10.5,65,1
Mar-24,12,"311,431",8.9,69,0
Mar-24,12,"311,431",8.9,69,1
Mar-24,12,"311,431",8.9,69,1
Mar-24,12,"311,431",8.9,69,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,1,"1,082,456",13.6,60,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,2,"248,148",14.6,61,1
Apr-24,3,"220,034",14.2,56,1
Apr-24,3,"220,034",14.2,56,1
Apr-24,8,"722,213",14.8,55,1
Apr-24,8,"722,213",14.8,55,1
Apr-24,11,"215,795",12.9,61,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,12,"184,880",14.2,65,1
Apr-24,13,"166,685",13.3,64,1
Apr-24,14,"58,112",15.5,70,1
Apr-24,14,"58,112",15.5,70,1
Apr-24,15,"195,221",13.2,62,1
Apr-24,15,"195,221",13.2,62,1
Apr-24,15,"195,221",13.2,62,1
Apr-24,15,"195,221",13.2,62,1
Apr-24,15,"195,221",13.2,62,1
May-24,0,"34,054",17.3,55,1
May-24,0,"34,054",17.3,55,1
May-24,0,"34,054",17.3,55,1
May-24,1,"204,343",17.9,61,1
May-24,1,"204,343",17.9,61,1
May-24,1,"204,343",17.9,61,1
May-24,1,"204,343",17.9,61,1
May-24,1,"204,343",17.9,61,1
May-24,1,"204,343",17.9,61,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,2,"55,990",19,56,1
May-24,3,"61,152",18.6,53,1
May-24,5,"48,894",20.7,50,1
May-24,5,"48,894",20.7,50,1
May-24,11,"39,623",17.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,12,"37,349",18.1,62,1
May-24,13,"36,426",17.5,60,1
May-24,14,"12,560",19.4,65,1
May-24,14,"12,560",19.4,65,1
May-24,15,"39,307",17.6,60,1
May-24,15,"39,307",17.6,60,1
May-24,16,"31,545",17.7,54,1
May-24,16,"31,545",17.7,54,1
Jun-24,0,"10,701",21.15,75.5,1
Jun-24,0,"10,701",21.15,75.5,1
Jun-24,0,"10,701",21.15,75.5,0
Jun-24,0,"10,701",21.15,75.5,1
Jun-24,0,"10,701",21.15,75.5,1
Jun-24,1,"61,864",22.5,76,1
Jun-24,1,"61,864",22.5,76,1
Jun-24,1,"61,864",22.5,76,1
Jun-24,1,"61,864",22.5,76,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,2,"15,316",22.4,77,1
Jun-24,7,"14,133",21.7,84,1
Jun-24,10,"8,102",22.4,78,1
Jun-24,10,"8,102",22.4,78,1
Jun-24,10,"8,102",22.4,78,1
Jun-24,13,"7,934",22.7,76,1
Jun-24,14,"4,145",23.9,81,1
Jun-24,15,"10,027",22.9,75,1
Jul-24,0,"41,384",24.65,83,1
Jul-24,1,"388,122",26.4,81,1
Jul-24,1,"388,122",26.4,81,1
Jul-24,1,"388,122",26.4,81,1
Jul-24,2,"75,462",26.4,80,1
Jul-24,2,"75,462",26.4,80,1
Jul-24,2,"75,462",26.4,80,1
Jul-24,2,"75,462",26.4,80,1
Jul-24,2,"75,462",26.4,80,0
Jul-24,2,"75,462",26.4,80,0
Jul-24,2,"75,462",26.4,80,1
Jul-24,3,"60,698",25.7,81,1
Jul-24,8,"311,555",27.3,77,1
Jul-24,10,"38,341",26,83,1
Jul-24,12,"34,859",26.5,83,1
Jul-24,12,"34,859",26.5,83,1
Jul-24,12,"34,859",26.5,83,1
Jul-24,12,"34,859",26.5,83,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,14,"30,800",28.4,80,1
Jul-24,15,"55,686",26.2,81,1
Jul-24,15,"55,686",26.2,81,1
Jul-24,16,"42,555",25.7,80,1
Jul-24,16,"42,555",25.7,80,1
Jul-24,16,"42,555",25.7,80,1
Aug-24,0,"111,505",24.05,81.5,1
Aug-24,0,"111,505",24.05,81.5,1
Aug-24,1,"870,183",25,85,1
Aug-24,1,"870,183",25,85,1
Aug-24,1,"870,183",25,85,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,2,"221,631",26.1,81,1
Aug-24,10,"82,155",26.4,79,1
Aug-24,10,"82,155",26.4,79,1
Aug-24,12,"136,795",26.5,85,1
Aug-24,12,"136,795",26.5,85,1
Aug-24,12,"136,795",26.5,85,1
Aug-24,12,"136,795",26.5,85,1
Aug-24,13,"134,889",25.4,83,1
Aug-24,13,"134,889",25.4,83,1
Aug-24,14,"51,117",29.2,75,1
Aug-24,14,"51,117",29.2,75,1
Aug-24,14,"51,117",29.2,75,1
Aug-24,14,"51,117",29.2,75,1
Sep-24,0,"48,205",19.25,77,1
Sep-24,0,"48,205",19.25,77,1
Sep-24,0,"48,205",19.25,77,1
Sep-24,0,"48,205",19.25,77,0
Sep-24,0,"48,205",19.25,77,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,1,"409,687",21.3,74,1
Sep-24,2,"94,535",21.8,76,1
Sep-24,2,"94,535",21.8,76,1
Sep-24,2,"94,535",21.8,76,1
Sep-24,2,"94,535",21.8,76,1
Sep-24,2,"94,535",21.8,76,1
Sep-24,3,"83,722",20.3,79,1
Sep-24,3,"83,722",20.3,79,1
Sep-24,3,"83,722",20.3,79,1
Sep-24,6,"47,603",21.8,69,1
Sep-24,7,"73,921",22.9,76,1
Sep-24,8,"269,968",22.4,68,1
Sep-24,8,"269,968",22.4,68,1
Sep-24,8,"269,968",22.4,68,1
Sep-24,8,"269,968",22.4,68,1
Sep-24,10,"26,348",21.7,79,1
Sep-24,10,"26,348",21.7,79,0
Sep-24,11,"90,100",22,69,1
