일자,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2024-01,7,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-02,67,75,2055,5,9,13,17,1,74,7,10,48,4,2,472,59,2
2024-03,376,44,4629,58,11,23,22,45,400,29,34,80,8,7,828,37,7
2024-04,183,18,168,29,10,4,4,0,200,17,1,15,5,6,65,21,4
2024-05,228,10,31,113,2,6,9,1,164,4,15,3,3,4,14,6,2
2024-06,451,7,23,135,12,71,3,3,367,8,4,21,6,5,10,11,4
2024-07,288,17,34,42,160,49,4,0,339,9,9,23,12,14,12,25,7
2024-08,2268,130,107,333,170,90,30,17,1714,115,55,142,48,104,54,77,19
2024-09,1425,120,85,200,121,104,58,9,1123,35,43,152,41,27,96,55,14
2024-10,718,171,42,129,16,82,16,6,1020,55,18,57,38,16,36,25,0
2024-11,2800,217,58,364,185,52,35,18,1874,373,138,358,168,239,117,309,21
2024-12,10181,1058,569,1430,385,351,474,49,7173,555,836,754,503,136,720,700,336
2024-01,5159,889,507,974,702,252,264,47,5353,488,411,363,202,189,593,686,106
2024-02,4079,466,315,618,301,93,76,30,3747,169,182,428,152,110,236,172,48
2024-03,3794,583,304,627,125,96,141,44,5029,466,434,187,260,54,250,777,55
2024-04,5807,1244,424,607,200,444,725,87,5616,354,438,402,485,140,606,955,82
2024-05,6077,619,565,533,396,348,699,123,4884,501,315,505,289,410,582,784,323
2024-06,6072,553,682,569,132,573,246,80,4978,374,363,266,139,185,257,548,234
2024-07,14363,1985,1071,2293,462,1538,382,176,11720,934,544,1142,403,387,507,1956,468
2024-08,14999,3180,1977,2767,654,1458,969,257,15297,967,1302,1990,821,565,1644,2777,870
2024-09,21126,1335,1853,3974,936,1338,990,246,19045,977,1192,2196,927,484,1223,1480,273
2024-10,19095,1190,1643,3571,382,547,256,126,18331,762,1556,1467,672,459,1386,1548,225
2024-11,34661,2343,1816,5245,914,1023,219,195,25011,1440,945,2329,1145,876,1559,2007,604
2024-12,70877,8820,4166,12102,1741,3695,1233,582,52871,3766,2653,5166,3236,1659,4047,5661,934
2024-01,51989,9357,9937,14927,6982,4475,2163,844,72700,3575,3783,6870,5370,4950,6458,7617,784
2024-02,498494,158075,98483,170139,63225,61745,40568,14739,681217,44901,53197,77857,61945,49134,76391,112330,24263
2024-03,1982679,697919,392298,594659,281730,265191,217277,75737,2696470,273256,302454,375411,317844,311431,395947,643621,134557
2024-04,722213,160875,185253,215795,142872,137002,87887,37197,1082456,146314,150812,195221,166685,184880,220034,248148,58112
2024-05,135163,40830,48894,39623,28694,29340,22767,7722,204343,34054,31545,39307,36426,37349,61152,55990,12560
2024-06,49091,14133,14679,11276,6105,7005,8102,2220,61864,10701,7802,10027,7934,8287,16748,15316,4145
2024-07,311555,81794,49661,75977,33620,39916,38341,10985,388122,41384,42555,55686,43935,34859,60698,75462,30800
2024-08,583045,210566,174460,178134,115973,113435,82155,28963,870183,111505,118119,152904,134889,136795,185147,221631,51117
2024-09,269968,73921,82604,90100,43521,47603,26348,13503,409687,48205,53556,66590,55505,49724,83722,94535,12741
2024-10,159698,37254,37098,48311,18211,23115,15036,6612,227133,28704,25425,29914,23181,19744,43326,39301,5428
2024-11,306495,80888,68600,92174,40845,50067,28356,13066,440644,52116,50996,64109,47877,40271,76720,77487,9611
2024-12,366105,125922,83723,118526,59248,57429,42309,16466,545905,52714,60580,81762,61656,64013,85048,120859,17198
2024-01,201307,77115,47663,68382,29495,32025,27921,8923,296519,28995,33411,47595,37528,38708,52198,74991,13980
2024-02,59929,23775,18038,17408,10253,8558,8381,2491,81287,8686,10898,13283,12599,12272,19282,24247,5677
2024-03,64597,13007,12340,16949,8596,10001,4124,3186,86394,7628,10448,12159,12490,9133,15374,14505,5860
2024-04,89266,10690,10688,23431,11159,10615,3077,3299,103728,9056,10686,14519,12121,12222,11680,12499,4091
2024-05,127315,27172,18509,31187,15003,15839,8346,3931,148936,14456,16093,20107,16516,17486,18185,26036,7731
2024-06,109613,43735,23624,26736,16142,13030,12335,3716,123445,12002,12399,16544,14349,15041,21161,33173,11471
2024-07,184166,92765,49769,43600,33694,29999,27491,6380,218452,25734,26383,33818,31739,40179,49690,74589,21084
2024-08,253546,87775,66976,77839,45105,44635,28272,11291,340980,39445,42834,59021,57791,49927,66932,82978,15675
